date,time,open,high,low,close,volume
2020.01.02,0:00,0.70058,0.7008,0.69783,0.69822,20815
2020.01.03,0:00,0.69825,0.69863,0.693,0.69444,31774
2020.01.05,0:03,0.69409,0.69422,0.69346,0.69364,518
2020.01.06,0:00,0.69364,0.69575,0.69251,0.69383,27873
2020.01.07,0:00,0.69384,0.6939,0.68588,0.68674,31384
2020.01.08,0:00,0.68674,0.68851,0.68488,0.68648,43807
2020.01.09,0:00,0.68648,0.68801,0.68499,0.68529,21943
2020.01.10,0:00,0.68529,0.69106,0.68504,0.68984,26446
2020.01.12,0:03,0.68962,0.68991,0.68932,0.68962,388
2020.01.13,0:00,0.68962,0.69195,0.68944,0.69009,22984
2020.01.14,0:00,0.69009,0.69094,0.68847,0.68992,25989
2020.01.15,0:00,0.68992,0.69164,0.68769,0.69026,23827
2020.01.16,0:00,0.69025,0.69334,0.68876,0.68969,24556
2020.01.17,0:00,0.68969,0.69108,0.68704,0.6871,21627
2020.01.19,0:03,0.68729,0.68762,0.68718,0.68758,338
2020.01.20,0:00,0.68758,0.68882,0.68548,0.68726,16680
2020.01.21,0:00,0.68726,0.68802,0.68418,0.68421,27120
2020.01.22,0:00,0.68421,0.68559,0.68267,0.68415,25536
2020.01.23,0:00,0.68415,0.68784,0.68289,0.68415,31982
2020.01.24,0:00,0.68415,0.68569,0.68172,0.68251,25126
2020.01.26,0:03,0.68104,0.6818,0.68097,0.68151,690
2020.01.27,0:00,0.68151,0.68167,0.67515,0.67588,31358
2020.01.28,0:00,0.67587,0.67646,0.67366,0.67589,25267
2020.01.29,0:00,0.6759,0.6777,0.67348,0.67475,26605
2020.01.30,0:00,0.67473,0.67546,0.66997,0.67174,33575
2020.01.31,0:00,0.67174,0.67293,0.66825,0.66861,32110
2020.02.02,0:03,0.66828,0.66875,0.66826,0.66839,720
2020.02.03,0:00,0.66839,0.67067,0.66833,0.66891,33239
2020.02.04,0:00,0.6689,0.6742,0.66783,0.67397,31122
2020.02.05,0:00,0.67397,0.67738,0.67234,0.67459,31622
2020.02.06,0:00,0.67459,0.67645,0.67259,0.67316,25099
2020.02.07,0:00,0.67316,0.67358,0.66617,0.66759,29483
2020.02.09,0:03,0.66667,0.66733,0.66667,0.66731,457
2020.02.10,0:00,0.66731,0.6707,0.66662,0.66842,31559
2020.02.11,0:00,0.66842,0.67363,0.66802,0.67147,27116
2020.02.12,0:00,0.67147,0.67496,0.67116,0.67339,27188
2020.02.13,0:00,0.67335,0.67448,0.67066,0.6716,31140
2020.02.14,0:00,0.6716,0.67313,0.6709,0.67131,19646
2020.02.16,0:03,0.67212,0.67228,0.67155,0.67181,522
2020.02.17,0:00,0.67181,0.67331,0.6711,0.67119,15966
2020.02.18,0:00,0.67115,0.67134,0.66732,0.66864,23477
2020.02.19,0:00,0.66864,0.67071,0.66649,0.66762,21843
2020.02.20,0:00,0.66762,0.66935,0.66099,0.66115,35022
2020.02.21,0:00,0.66115,0.66385,0.65854,0.66262,32369
2020.02.23,0:03,0.65857,0.66058,0.65854,0.65939,587
2020.02.24,0:00,0.65936,0.66195,0.65863,0.65995,40398
2020.02.25,0:00,0.65995,0.66222,0.65861,0.65988,42385
2020.02.26,0:00,0.65988,0.66065,0.65418,0.65471,45041
2020.02.27,0:00,0.65471,0.65917,0.65427,0.65729,51349
2020.02.28,0:00,0.65728,0.65852,0.64336,0.65051,80610
