date,time,open,high,low,close,volume
2020.01.02,0:00,1.12132,1.12143,1.11635,1.11712,30723
2020.01.03,0:00,1.11708,1.11797,1.1125,1.11558,39130
2020.01.05,0:03,1.11646,1.11661,1.11582,1.11592,401
2020.01.06,0:00,1.11592,1.12054,1.11571,1.11952,32384
2020.01.07,0:00,1.11952,1.11975,1.11335,1.11473,36476
2020.01.08,0:00,1.11473,1.11681,1.11016,1.11095,50285
2020.01.09,0:00,1.11097,1.11203,1.10923,1.11064,31986
2020.01.10,0:00,1.11064,1.11291,1.1085,1.11212,29649
2020.01.12,0:03,1.11162,1.11209,1.11128,1.11167,475
2020.01.13,0:00,1.11164,1.11469,1.11127,1.11353,26136
2020.01.14,0:00,1.11353,1.11444,1.11042,1.11264,31696
2020.01.15,0:00,1.11263,1.11633,1.11185,1.11515,29658
2020.01.16,0:00,1.11515,1.11726,1.11278,1.11367,29753
2020.01.17,0:00,1.11367,1.11425,1.10862,1.10893,27620
2020.01.19,0:03,1.1092,1.10931,1.10888,1.10908,1007
2020.01.20,0:00,1.10908,1.11024,1.10766,1.10969,17998
2020.01.21,0:00,1.10969,1.1118,1.10809,1.10828,29302
2020.01.22,0:00,1.10828,1.10983,1.10701,1.10925,30012
2020.01.23,0:00,1.10925,1.11087,1.10363,1.10554,37764
2020.01.24,0:00,1.10554,1.10617,1.10196,1.10255,32217
2020.01.26,0:03,1.10295,1.10321,1.1025,1.103,1215
2020.01.27,0:00,1.10299,1.10375,1.10096,1.10179,33173
2020.01.28,0:00,1.10178,1.10251,1.09977,1.10218,28593
2020.01.29,0:00,1.10218,1.10277,1.09922,1.10099,27948
2020.01.30,0:00,1.10103,1.10393,1.10068,1.10314,34442
2020.01.31,0:00,1.10315,1.10951,1.10168,1.10943,37144
2020.02.02,0:03,1.10907,1.10927,1.10821,1.10839,1085
2020.02.03,0:00,1.10839,1.10906,1.10349,1.1059,34776
2020.02.04,0:00,1.1059,1.10642,1.10327,1.10443,32761
2020.02.05,0:00,1.10443,1.10478,1.09935,1.09995,33164
2020.02.06,0:00,1.09995,1.10138,1.09643,1.09807,28863
2020.02.07,0:00,1.09807,1.09849,1.09418,1.0943,38142
2020.02.09,0:03,1.09424,1.09449,1.09422,1.09435,459
2020.02.10,0:00,1.09435,1.09574,1.09076,1.09105,28618
2020.02.11,0:00,1.09105,1.09247,1.08912,1.09188,30631
2020.02.12,0:00,1.09189,1.09255,1.08651,1.08717,31298
2020.02.13,0:00,1.08717,1.08887,1.08339,1.08399,34291
2020.02.14,0:00,1.08399,1.08612,1.08272,1.08301,28565
2020.02.16,0:03,1.08397,1.08415,1.08351,1.08377,1123
2020.02.17,0:00,1.08379,1.08509,1.08291,1.08367,20770
2020.02.18,0:00,1.08367,1.08372,1.07852,1.07942,34423
2020.02.19,0:00,1.07942,1.08117,1.07821,1.08075,33320
2020.02.20,0:00,1.08076,1.08211,1.07775,1.07868,41202
2020.02.21,0:00,1.07867,1.08634,1.07839,1.08474,39494
2020.02.23,0:03,1.0825,1.08338,1.08106,1.08287,2193
2020.02.24,0:00,1.08287,1.0872,1.08049,1.08512,53695
2020.02.25,0:00,1.08512,1.08901,1.083,1.08806,60390
2020.02.26,0:00,1.08803,1.09087,1.08549,1.08823,60556
2020.02.27,0:00,1.08823,1.10066,1.08794,1.10026,76468
2020.02.28,0:00,1.10025,1.10531,1.09508,1.10293,96660
2020.03.01,0:03,1.10407,1.10485,1.10374,1.10445,690
2020.03.02,0:00,1.10447,1.11845,1.10362,1.11382,86560
2020.03.03,0:00,1.11382,1.1213,1.10951,1.11687,80335
2020.03.04,0:00,1.11686,1.11875,1.10953,1.11331,63681
2020.03.05,0:00,1.11331,1.12447,1.11195,1.12302,61436
2020.03.06,0:00,1.12302,1.13546,1.12113,1.12901,92781
2020.03.08,0:03,1.13469,1.13944,1.13397,1.13867,4358
2020.03.09,0:00,1.13867,1.14964,1.13558,1.14377,185705
2020.03.10,0:00,1.14378,1.1438,1.12743,1.13079,189824
2020.03.11,0:00,1.13079,1.13662,1.125,1.12585,129148
2020.03.12,0:00,1.12585,1.13332,1.10554,1.11763,175110
2020.03.13,0:00,1.11762,1.12211,1.10549,1.11025,163564
2020.03.15,0:03,1.11886,1.11989,1.11401,1.11569,8692
2020.03.16,0:00,1.11577,1.12364,1.10846,1.11674,199767
2020.03.17,0:00,1.11674,1.1189,1.0955,1.10154,177294
2020.03.18,0:00,1.10159,1.1045,1.08016,1.09323,202408
2020.03.19,0:00,1.09334,1.09817,1.06535,1.06641,219244
2020.03.20,0:00,1.06645,1.08309,1.06375,1.06935,242479
2020.03.22,0:03,1.06937,1.07009,1.06355,1.0659,5132
2020.03.23,0:00,1.06589,1.08274,1.06578,1.07449,217686
2020.03.24,0:00,1.07459,1.0888,1.07436,1.08112,172238
2020.03.25,0:00,1.08112,1.08939,1.07601,1.08811,168462
2020.03.26,0:00,1.08811,1.10586,1.08743,1.10343,147983
2020.03.27,0:00,1.10349,1.1147,1.09533,1.11431,137642
2020.03.29,0:03,1.11159,1.11288,1.1108,1.11205,700
2020.03.30,0:00,1.1121,1.11439,1.10099,1.10405,110083
2020.03.31,0:00,1.10415,1.10501,1.09266,1.10286,131883
2020.04.01,0:00,1.10288,1.10371,1.09027,1.09451,102984
2020.04.02,0:00,1.09454,1.09643,1.08205,1.08518,104485
2020.04.03,0:00,1.0852,1.08584,1.07727,1.08127,93163
2020.04.05,0:03,1.08088,1.08191,1.08073,1.08099,339
2020.04.06,0:00,1.081,1.08354,1.07682,1.07934,95079
2020.04.07,0:00,1.07935,1.09259,1.07834,1.08898,89547
2020.04.08,0:00,1.08906,1.0902,1.08298,1.08556,78717
2020.04.09,0:00,1.08556,1.09515,1.08409,1.09252,82358
2020.04.10,0:00,1.09252,1.09522,1.09194,1.09347,44409
2020.04.12,0:03,1.09428,1.09444,1.09282,1.09409,277
2020.04.13,0:00,1.09409,1.09676,1.08925,1.0905,92606
2020.04.14,0:00,1.0905,1.09907,1.0905,1.0982,110952
2020.04.15,0:00,1.0982,1.09895,1.08562,1.09079,99629
2020.04.16,0:00,1.09079,1.09111,1.08166,1.08604,126083
2020.04.17,0:00,1.08604,1.08925,1.08119,1.08739,121198
2020.04.19,0:03,1.08625,1.08784,1.08625,1.0872,2632
2020.04.20,0:00,1.0872,1.08965,1.08411,1.08686,91546
2020.04.21,0:00,1.08686,1.08801,1.08164,1.08556,108932
2020.04.22,0:00,1.08556,1.08851,1.08032,1.08225,80632
2020.04.23,0:00,1.08225,1.08466,1.0756,1.07771,123435
2020.04.24,0:00,1.07771,1.08257,1.07269,1.08244,99527
2020.04.26,0:03,1.08208,1.08225,1.08195,1.08215,349
2020.04.27,0:00,1.08215,1.08602,1.08112,1.08294,97000
2020.04.28,0:00,1.08294,1.08883,1.08096,1.08211,75806
2020.04.29,0:00,1.08213,1.08855,1.08199,1.08737,74569
2020.04.30,0:00,1.08737,1.09724,1.08328,1.09507,84466
2020.05.01,0:00,1.09507,1.1018,1.09343,1.09802,55002
2020.05.03,0:03,1.09684,1.09743,1.09658,1.09704,381
2020.05.04,0:00,1.09705,1.09736,1.08956,1.09002,54844
2020.05.05,0:00,1.08999,1.09257,1.08257,1.08414,58272
2020.05.06,0:00,1.08414,1.08436,1.07818,1.07968,53894
2020.05.07,0:00,1.07947,1.08381,1.07664,1.08312,60920
2020.05.08,0:00,1.08307,1.08755,1.0815,1.08386,47881
2020.05.10,0:03,1.0824,1.08358,1.08233,1.08325,396
2020.05.11,0:00,1.08325,1.08503,1.08005,1.08073,49580
2020.05.12,0:00,1.08073,1.08852,1.07843,1.08467,54215
2020.05.13,0:00,1.08469,1.08963,1.08115,1.08206,58765
2020.05.14,0:00,1.08203,1.08238,1.07748,1.08064,53158
2020.05.15,0:00,1.08064,1.08505,1.07888,1.08187,50019
2020.05.17,0:03,1.08014,1.08207,1.08014,1.08158,546
2020.05.18,0:00,1.08152,1.09269,1.07998,1.0915,49275
2020.05.19,0:00,1.09149,1.09759,1.09021,1.09208,50752
2020.05.20,0:00,1.09209,1.09989,1.09187,1.09771,46435
2020.05.21,0:00,1.098,1.10082,1.09372,1.09471,46372
2020.05.22,0:00,1.09476,1.09536,1.08852,1.09022,42388
2020.05.24,0:03,1.08953,1.08988,1.08938,1.08955,337
2020.05.25,0:00,1.08955,1.09144,1.08706,1.08926,26819
2020.05.26,0:00,1.08926,1.09958,1.08919,1.09752,46958
2020.05.27,0:00,1.09752,1.10306,1.09339,1.10052,71913
2020.05.28,0:00,1.10052,1.10934,1.09917,1.10785,64236
2020.05.29,0:00,1.10789,1.1145,1.10698,1.11076,76038
2020.05.31,0:03,1.1115,1.11184,1.11121,1.11128,394
2020.06.01,0:00,1.11126,1.11536,1.11003,1.11311,61636
2020.06.02,0:00,1.11314,1.11957,1.11151,1.11697,69281
2020.06.03,0:00,1.11697,1.12576,1.11665,1.12349,77749
2020.06.04,0:00,1.12349,1.13621,1.11947,1.13353,81326
2020.06.05,0:00,1.13358,1.13837,1.12782,1.12874,78467
2020.06.07,0:03,1.12932,1.13064,1.12922,1.12963,733
2020.06.08,0:00,1.12963,1.13195,1.12682,1.12904,63083
2020.06.09,0:00,1.12904,1.13635,1.12409,1.13354,71984
2020.06.10,0:00,1.13354,1.14222,1.13215,1.13753,78037
2020.06.11,0:00,1.13753,1.14035,1.12886,1.12929,101502
