date,time,open,high,low,close,volume
2020.01.02,0:00,1.3209,1.32305,1.3115,1.31371,50455
2020.01.03,0:00,1.31371,1.31599,1.30532,1.30743,58256
2020.01.05,0:03,1.30781,1.30854,1.30639,1.30688,1068
2020.01.06,0:00,1.30688,1.31783,1.30625,1.31747,49686
2020.01.07,0:00,1.31747,1.32119,1.30948,1.31154,56473
2020.01.08,0:00,1.31178,1.31694,1.30801,1.30985,64511
2020.01.09,0:00,1.30987,1.31234,1.3013,1.30672,55925
2020.01.10,0:00,1.30674,1.30967,1.30422,1.30637,48180
2020.01.12,0:03,1.30364,1.30419,1.30324,1.30351,585
2020.01.13,0:00,1.30358,1.30453,1.29609,1.29882,48495
2020.01.14,0:00,1.29884,1.3033,1.29541,1.30204,52515
2020.01.15,0:00,1.30205,1.3057,1.29848,1.30447,49919
2020.01.16,0:00,1.30448,1.30829,1.30251,1.30755,52261
2020.01.17,0:00,1.30755,1.31187,1.30076,1.30094,47971
2020.01.19,0:03,1.29985,1.3005,1.2995,1.29999,421
2020.01.20,0:00,1.3,1.30137,1.29618,1.30065,30783
2020.01.21,0:00,1.30067,1.30832,1.29949,1.30458,44889
2020.01.22,0:00,1.30458,1.31527,1.30345,1.31359,67091
2020.01.23,0:00,1.31354,1.31507,1.30969,1.31185,62037
2020.01.24,0:00,1.31185,1.31724,1.30564,1.30705,64453
2020.01.26,0:03,1.30754,1.30777,1.30676,1.30715,585
2020.01.27,0:00,1.30716,1.31052,1.30401,1.30563,60026
2020.01.28,0:00,1.30563,1.30648,1.29753,1.30236,54097
2020.01.29,0:00,1.30236,1.30276,1.29892,1.3014,56094
2020.01.30,0:00,1.30137,1.31098,1.29777,1.30893,65083
2020.01.31,0:00,1.30893,1.32088,1.30838,1.3208,68620
2020.02.02,0:03,1.31701,1.31792,1.31701,1.31779,301
2020.02.03,0:00,1.31779,1.31841,1.29828,1.29959,64225
2020.02.04,0:00,1.29959,1.30465,1.29409,1.30271,65853
2020.02.05,0:00,1.30271,1.30698,1.29562,1.29959,62576
2020.02.06,0:00,1.29959,1.29998,1.2921,1.29272,53849
