date,time,open,high,low,close,volume
2020.01.02,0:00,0.6736,0.67393,0.66845,0.66982,60492
2020.01.03,0:00,0.66982,0.66988,0.66441,0.66645,58493
2020.01.05,0:00,0.66577,0.66594,0.66512,0.6654,4063
2020.01.06,0:00,0.6654,0.66801,0.66442,0.66681,53555
2020.01.07,0:00,0.66682,0.66791,0.6625,0.66307,49225
2020.01.08,0:00,0.66306,0.66723,0.66176,0.66537,72839
2020.01.09,0:00,0.66538,0.66583,0.66001,0.6607,47993
2020.01.10,0:00,0.6607,0.6645,0.66017,0.66344,49519
2020.01.12,0:00,0.6638,0.66412,0.66343,0.66368,2520
2020.01.13,0:00,0.66367,0.66528,0.66203,0.66247,48232
2020.01.14,0:00,0.66247,0.6634,0.66034,0.66065,46476
2020.01.15,0:00,0.66065,0.66206,0.65839,0.66189,41462
2020.01.16,0:00,0.66189,0.66653,0.6618,0.66369,49324
2020.01.17,0:00,0.66368,0.66505,0.66071,0.6611,38598
2020.01.19,0:00,0.66091,0.66201,0.66087,0.66184,2367
2020.01.20,0:00,0.66185,0.66244,0.65922,0.66067,28741
2020.01.21,0:00,0.66067,0.6615,0.65878,0.65948,45088
2020.01.22,0:00,0.65949,0.66106,0.65814,0.65946,40068
2020.01.23,0:00,0.65947,0.66237,0.6581,0.66179,50974
2020.01.24,0:00,0.6618,0.66292,0.65991,0.66063,35313
2020.01.26,0:00,0.65819,0.65967,0.65705,0.65727,3925
2020.01.27,0:00,0.65734,0.65902,0.65415,0.65447,40596
2020.01.28,0:00,0.65447,0.65502,0.65208,0.65392,38415
2020.01.29,0:00,0.65393,0.6543,0.65057,0.65272,37942
2020.01.30,0:00,0.65272,0.65286,0.648,0.64834,46685
2020.01.31,0:00,0.64835,0.64949,0.6454,0.64645,49323
2020.02.02,0:00,0.64683,0.64724,0.64559,0.64578,4435
2020.02.03,0:00,0.64578,0.64771,0.64527,0.64598,50589
2020.02.04,0:00,0.64599,0.65018,0.64495,0.64921,51113
2020.02.05,0:00,0.64924,0.65029,0.64691,0.64807,51925
2020.02.06,0:00,0.64808,0.64839,0.64539,0.64595,43273
2020.02.07,0:00,0.64595,0.64603,0.63981,0.64012,46026
2020.02.09,0:00,0.64028,0.64076,0.63972,0.63978,4545
2020.02.10,0:00,0.6398,0.64173,0.63816,0.63874,49653
2020.02.11,0:00,0.63874,0.6421,0.63783,0.64055,48359
2020.02.12,0:00,0.64055,0.64876,0.64035,0.64456,54150
2020.02.13,0:00,0.64459,0.64664,0.64317,0.64412,50332
2020.02.14,0:00,0.64413,0.64443,0.6423,0.64332,29864
2020.02.16,0:00,0.6446,0.64476,0.64387,0.64454,1936
2020.02.17,0:00,0.64452,0.64452,0.64204,0.64372,27503
2020.02.18,0:00,0.64372,0.64373,0.63814,0.63934,43218
2020.02.19,0:00,0.63935,0.64108,0.63709,0.63885,41591
2020.02.20,0:00,0.63885,0.63949,0.63249,0.63324,59205
2020.02.21,0:00,0.63323,0.6357,0.63034,0.63521,56290
2020.02.23,0:00,0.6318,0.63274,0.63157,0.63217,5890
2020.02.24,0:00,0.63217,0.63563,0.63036,0.63421,71047
2020.02.25,0:00,0.63422,0.63586,0.63111,0.63209,66190
2020.02.26,0:00,0.6321,0.63216,0.62834,0.62871,76336
2020.02.27,0:00,0.62874,0.63346,0.6284,0.63103,90495
2020.02.28,0:00,0.63103,0.63141,0.61914,0.62483,117972
2020.03.01,0:00,0.62021,0.62328,0.62021,0.62273,3995
2020.03.02,0:00,0.62275,0.62789,0.62041,0.62663,91734
2020.03.03,0:00,0.62663,0.63254,0.62465,0.62698,90651
2020.03.04,0:00,0.62698,0.63053,0.62698,0.63001,64037
2020.03.05,0:00,0.63001,0.63341,0.62804,0.63126,52647
2020.03.06,0:00,0.63127,0.63726,0.62942,0.63554,83713
2020.03.08,0:00,0.63125,0.63397,0.6309,0.63241,4955
2020.03.09,0:00,0.63242,0.64479,0.60047,0.6351,154116
2020.03.10,0:00,0.63509,0.63539,0.62428,0.62765,110340
2020.03.11,0:00,0.62764,0.63432,0.62569,0.6262,86586
2020.03.12,0:00,0.62621,0.62762,0.60852,0.61273,193349
2020.03.13,0:00,0.61273,0.61603,0.60177,0.60644,126399
2020.03.15,0:00,0.60134,0.61511,0.59839,0.60313,7234
2020.03.16,0:00,0.60321,0.61282,0.59842,0.60508,143053
2020.03.17,0:00,0.60508,0.60958,0.59152,0.59428,113892
2020.03.18,0:00,0.59428,0.59681,0.56949,0.57322,142687
2020.03.19,0:00,0.57331,0.59174,0.54687,0.56137,184038
2020.03.20,0:00,0.56137,0.58812,0.56118,0.56996,163080
2020.03.22,0:00,0.56635,0.56811,0.55902,0.56175,8674
2020.03.23,0:00,0.56177,0.57382,0.55946,0.57105,175865
2020.03.24,0:00,0.57106,0.58472,0.56994,0.58319,148782
2020.03.25,0:00,0.58319,0.59123,0.57882,0.57943,138205
2020.03.26,0:00,0.57943,0.59883,0.5777,0.59398,155140
2020.03.27,0:00,0.59398,0.6069,0.59096,0.60336,143282
2020.03.29,0:00,0.60332,0.6037,0.59939,0.60101,3859
2020.03.30,0:00,0.60101,0.60632,0.59832,0.60169,139031
2020.03.31,0:00,0.60168,0.60385,0.59092,0.59263,164862
2020.04.01,0:00,0.59264,0.59776,0.58789,0.59251,113086
2020.04.02,0:00,0.59251,0.59734,0.58804,0.59156,103636
2020.04.03,0:00,0.59157,0.59179,0.58433,0.58596,95600
2020.04.05,0:00,0.58685,0.5877,0.58534,0.58584,3631
2020.04.06,0:00,0.58584,0.59634,0.58502,0.59261,92229
2020.04.07,0:00,0.59262,0.60156,0.59244,0.59716,105065
2020.04.08,0:00,0.59716,0.60309,0.59401,0.60139,85446
2020.04.09,0:00,0.6014,0.60959,0.59855,0.60743,85462
2020.04.10,0:00,0.60743,0.61029,0.60572,0.60655,32096
2020.04.12,0:00,0.60785,0.6091,0.60639,0.60706,1211
2020.04.13,0:00,0.60707,0.6111,0.60595,0.60994,54115
2020.04.14,0:00,0.60995,0.61304,0.60652,0.61048,73246
2020.04.15,0:00,0.61048,0.61087,0.5955,0.59872,79251
2020.04.16,0:00,0.59874,0.60081,0.59214,0.59884,96394
2020.04.17,0:00,0.5989,0.60512,0.59672,0.60266,84890
2020.04.19,0:00,0.60329,0.60506,0.6022,0.6033,1918
2020.04.20,0:00,0.60329,0.6092,0.60088,0.60412,67989
2020.04.21,0:00,0.60414,0.60447,0.59336,0.59554,81624
2020.04.22,0:00,0.59554,0.60039,0.594,0.59497,61928
2020.04.23,0:00,0.59496,0.60416,0.59104,0.60093,76934
2020.04.24,0:00,0.60092,0.60185,0.5976,0.60147,54938
2020.04.26,0:00,0.60023,0.6017,0.60017,0.6013,1278
2020.04.27,0:00,0.60131,0.60753,0.60129,0.6034,56797
2020.04.28,0:00,0.60337,0.6073,0.5992,0.60602,60745
