date,time,open,high,low,close,volume
2020.01.01,0:00,1.29857,1.29871,1.29751,1.29761,1578
2020.01.02,0:00,1.29761,1.30084,1.29688,1.29844,61290
2020.01.03,0:00,1.29847,1.30076,1.29609,1.30033,71856
2020.01.05,0:00,1.29863,1.29903,1.29859,1.29893,2161
2020.01.06,0:00,1.29894,1.299,1.29603,1.2964,58038
2020.01.07,0:00,1.29639,1.30296,1.2957,1.30011,59741
2020.01.08,0:00,1.3001,1.30437,1.29763,1.30362,84196
2020.01.09,0:00,1.30363,1.31049,1.30261,1.3063,65504
2020.01.10,0:00,1.30629,1.30757,1.30291,1.3054,59334
2020.01.12,0:00,1.3053,1.30672,1.3052,1.3067,1370
2020.01.13,0:00,1.30672,1.30677,1.30318,1.30567,53749
2020.01.14,0:00,1.30566,1.30797,1.3047,1.30677,58754
2020.01.15,0:00,1.30677,1.30786,1.30352,1.30403,60472
2020.01.16,0:00,1.30402,1.30562,1.30322,1.30413,59511
2020.01.17,0:00,1.30414,1.30752,1.3034,1.30672,53577
2020.01.19,0:00,1.30588,1.30686,1.30588,1.30647,2957
2020.01.20,0:00,1.30646,1.30724,1.3044,1.30459,37294
2020.01.21,0:00,1.30457,1.308,1.3045,1.30742,56409
2020.01.22,0:00,1.30742,1.31525,1.30363,1.31425,66574
2020.01.23,0:00,1.31425,1.31716,1.31242,1.31279,62179
2020.01.24,0:00,1.31278,1.3153,1.31182,1.31488,54588
2020.01.26,0:00,1.31502,1.31624,1.31491,1.31617,4361
2020.01.27,0:00,1.31617,1.31999,1.3148,1.31881,62754
2020.01.28,0:00,1.31881,1.32058,1.31545,1.31642,51805
2020.01.29,0:00,1.3164,1.32096,1.31587,1.31982,48823
2020.01.30,0:00,1.3198,1.32266,1.31904,1.32123,64165
2020.01.31,0:00,1.32125,1.32532,1.31954,1.32342,70873
2020.02.02,0:00,1.3239,1.32445,1.32363,1.32418,2022
2020.02.03,0:00,1.32419,1.33037,1.32319,1.32955,67969
2020.02.04,0:00,1.32956,1.33018,1.32638,1.32834,60173
2020.02.05,0:00,1.32833,1.3303,1.3263,1.32863,67951
2020.02.06,0:00,1.32861,1.33091,1.32702,1.32875,57361
2020.02.07,0:00,1.32875,1.33212,1.32789,1.33057,73290
2020.02.09,0:00,1.33003,1.33118,1.33003,1.33117,2583
2020.02.10,0:00,1.33118,1.33292,1.32885,1.33182,61585
2020.02.11,0:00,1.3318,1.332,1.32765,1.32909,53985
2020.02.12,0:00,1.32909,1.32958,1.32357,1.32563,57327
2020.02.13,0:00,1.32563,1.32712,1.32402,1.32662,62230
2020.02.14,0:00,1.32661,1.32691,1.32358,1.32514,42498
2020.02.16,0:00,1.32508,1.32508,1.32446,1.3245,1348
2020.02.17,0:00,1.32451,1.32504,1.32252,1.32375,27663
2020.02.18,0:00,1.32375,1.32784,1.32344,1.32542,52365
2020.02.19,0:00,1.32543,1.32563,1.32152,1.3222,52200
2020.02.20,0:00,1.32221,1.32689,1.32119,1.32614,66998
2020.02.21,0:00,1.32613,1.32685,1.32022,1.32262,68154
2020.02.23,0:00,1.32512,1.32586,1.32433,1.32535,4454
2020.02.24,0:00,1.32539,1.33077,1.32478,1.32878,83426
2020.02.25,0:00,1.3288,1.33057,1.32672,1.32802,88279
2020.02.26,0:00,1.32802,1.3347,1.32714,1.33439,103496
2020.02.27,0:00,1.33439,1.3394,1.33166,1.33882,116743
2020.02.28,0:00,1.33881,1.34645,1.3386,1.33931,161038
2020.03.01,0:00,1.3436,1.34391,1.34045,1.34058,4457
2020.03.02,0:00,1.34062,1.34152,1.33151,1.33249,143110
2020.03.03,0:00,1.3325,1.3391,1.33191,1.33773,134713
2020.03.04,0:00,1.33773,1.34313,1.33302,1.33865,105722
2020.03.05,0:00,1.33866,1.34385,1.33865,1.33923,91442
2020.03.06,0:00,1.33923,1.34395,1.33794,1.34254,135076
2020.03.08,0:00,1.35453,1.36174,1.35403,1.36171,7850
2020.03.09,0:00,1.36174,1.37582,1.35174,1.36559,189050
2020.03.10,0:00,1.36559,1.3796,1.36092,1.3711,177228
2020.03.11,0:00,1.3711,1.37944,1.36815,1.37706,153549
2020.03.12,0:00,1.37707,1.39615,1.37073,1.39231,193186
2020.03.13,0:00,1.39231,1.39954,1.37821,1.3803,215944
2020.03.15,0:00,1.38546,1.38624,1.37301,1.3846,8829
2020.03.16,0:00,1.38463,1.40196,1.37877,1.39924,238062
2020.03.17,0:00,1.39924,1.42767,1.39607,1.42316,185987
2020.03.18,0:00,1.42316,1.46506,1.41665,1.44814,187156
2020.03.19,0:00,1.44814,1.46678,1.44209,1.4527,258535
2020.03.20,0:00,1.45268,1.4536,1.41495,1.43348,266471
2020.03.22,0:00,1.4353,1.44887,1.43517,1.44837,4890
