date,time,open,high,low,close,volume
2020.01.01,0:00,0.96614,0.96825,0.96578,0.96775,840
2020.01.02,0:00,0.96774,0.97331,0.96769,0.97144,49708
2020.01.03,0:00,0.97144,0.97437,0.96882,0.97239,61363
2020.01.05,0:00,0.97031,0.97157,0.97031,0.97156,2996
2020.01.06,0:00,0.97156,0.97166,0.96763,0.96855,54656
2020.01.07,0:00,0.96855,0.97295,0.96833,0.96875,59814
2020.01.08,0:00,0.96875,0.97398,0.96652,0.9733,98810
2020.01.09,0:00,0.97329,0.97482,0.97113,0.97318,56576
2020.01.10,0:00,0.97319,0.97621,0.972,0.97283,45814
2020.01.12,0:00,0.97214,0.97366,0.97214,0.97319,1092
2020.01.13,0:00,0.97319,0.97362,0.96941,0.97093,40728
2020.01.14,0:00,0.97093,0.97133,0.96655,0.96713,54411
2020.01.15,0:00,0.96713,0.96801,0.96304,0.96372,54536
2020.01.16,0:00,0.96373,0.96535,0.9613,0.96498,52502
2020.01.17,0:00,0.96498,0.96957,0.96453,0.96805,48663
2020.01.19,0:00,0.96766,0.96828,0.96753,0.96819,2314
2020.01.20,0:00,0.96819,0.96993,0.9676,0.96842,30560
2020.01.21,0:00,0.96841,0.96901,0.96613,0.96884,50683
2020.01.22,0:00,0.96884,0.97293,0.96737,0.96742,52289
2020.01.23,0:00,0.96741,0.97035,0.96688,0.9696,62073
2020.01.24,0:00,0.9696,0.97181,0.96921,0.9711,47736
2020.01.26,0:00,0.97026,0.97077,0.9691,0.97008,6533
2020.01.27,0:00,0.97009,0.97192,0.96818,0.9699,54637
2020.01.28,0:00,0.96991,0.97415,0.96788,0.97292,44527
2020.01.29,0:00,0.97292,0.97667,0.97265,0.97322,47780
2020.01.30,0:00,0.97322,0.97334,0.96799,0.96948,63581
2020.01.31,0:00,0.96948,0.9713,0.96292,0.96348,68832
2020.02.02,0:00,0.96355,0.9639,0.96297,0.96341,2928
2020.02.03,0:00,0.96341,0.96718,0.96298,0.96583,69394
2020.02.04,0:00,0.96583,0.97043,0.96566,0.96929,60906
2020.02.05,0:00,0.9693,0.97477,0.96781,0.97343,66252
2020.02.06,0:00,0.97344,0.97565,0.97311,0.97468,58915
2020.02.07,0:00,0.97469,0.97813,0.97396,0.97756,69827
2020.02.09,0:00,0.97666,0.97784,0.97631,0.97663,4078
2020.02.10,0:00,0.97663,0.97838,0.97638,0.97741,65735
2020.02.11,0:00,0.97742,0.9789,0.97509,0.97576,61082
2020.02.12,0:00,0.9758,0.97872,0.97411,0.97769,65292
2020.02.13,0:00,0.9777,0.97957,0.97607,0.97905,64419
2020.02.14,0:00,0.97906,0.98223,0.97906,0.98214,43685
2020.02.16,0:00,0.98152,0.98213,0.98125,0.98172,1679
2020.02.17,0:00,0.98173,0.98269,0.98056,0.98074,31524
2020.02.18,0:00,0.98074,0.98393,0.97966,0.98322,49576
2020.02.19,0:00,0.98323,0.98447,0.9826,0.98368,48413
2020.02.20,0:00,0.98369,0.98485,0.98154,0.98381,71599
2020.02.21,0:00,0.98383,0.98405,0.97709,0.97816,67301
2020.02.23,0:00,0.97974,0.97996,0.97832,0.97889,5291
2020.02.24,0:00,0.97889,0.98157,0.97649,0.97993,95717
2020.02.25,0:00,0.97991,0.98048,0.97511,0.97612,103547
2020.02.26,0:00,0.97612,0.97787,0.97288,0.97649,109252
2020.02.27,0:00,0.97648,0.97652,0.9675,0.96882,120122
2020.02.28,0:00,0.96882,0.96956,0.96102,0.96528,151609
2020.03.01,0:00,0.96306,0.96465,0.96198,0.96393,4701
2020.03.02,0:00,0.96395,0.9655,0.95438,0.95837,137767
2020.03.03,0:00,0.95837,0.95971,0.95179,0.95577,134678
2020.03.04,0:00,0.95576,0.95971,0.95325,0.95667,89168
2020.03.05,0:00,0.95667,0.95714,0.94465,0.94591,93471
2020.03.06,0:00,0.94591,0.94666,0.93183,0.93694,185164
2020.03.08,0:00,0.93228,0.93361,0.92687,0.92825,4860
2020.03.09,0:00,0.92829,0.93194,0.91831,0.92585,199826
2020.03.10,0:00,0.92585,0.94112,0.92585,0.93737,209061
2020.03.11,0:00,0.93745,0.94018,0.93245,0.93939,168772
2020.03.12,0:00,0.93939,0.95518,0.93213,0.94478,210045
2020.03.13,0:00,0.9448,0.95692,0.94224,0.95063,246746
2020.03.15,0:00,0.94886,0.9491,0.94419,0.94676,6193
2020.03.16,0:00,0.94678,0.95254,0.93919,0.94722,286511
2020.03.17,0:00,0.94722,0.96482,0.94705,0.95968,249933
2020.03.18,0:00,0.95968,0.97504,0.95664,0.96696,258207
2020.03.19,0:00,0.96697,0.98887,0.96385,0.9882,300145
2020.03.20,0:00,0.98822,0.99008,0.9744,0.98524,326001
2020.03.22,0:00,0.98452,0.99008,0.98383,0.9879,7372
2020.03.23,0:00,0.9879,0.98882,0.97901,0.9831,308371
2020.03.24,0:00,0.9831,0.98455,0.97185,0.98009,280344
2020.03.25,0:00,0.98009,0.98344,0.97468,0.97711,240621
2020.03.26,0:00,0.97711,0.97726,0.9603,0.96218,238919
2020.03.27,0:00,0.96218,0.96553,0.95055,0.95078,222608
2020.03.29,0:00,0.95278,0.95387,0.95083,0.95201,2360
2020.03.30,0:00,0.95201,0.9611,0.95015,0.95879,167749
2020.03.31,0:00,0.9588,0.9686,0.9588,0.96197,195710
2020.04.01,0:00,0.96197,0.96912,0.96026,0.96586,156612
2020.04.02,0:00,0.9659,0.97502,0.96579,0.97465,141297
2020.04.03,0:00,0.97464,0.97958,0.97313,0.97545,113066
2020.04.05,0:00,0.97557,0.97732,0.9754,0.97633,4423
2020.04.06,0:00,0.97633,0.97971,0.97607,0.97904,134479
2020.04.07,0:00,0.97903,0.97911,0.96855,0.96956,122148
2020.04.08,0:00,0.96956,0.97432,0.96879,0.97205,105619
2020.04.09,0:00,0.97206,0.97336,0.96482,0.96649,113069
2020.04.10,0:00,0.96652,0.96746,0.964,0.96516,50407
2020.04.12,0:00,0.96555,0.96556,0.96484,0.96547,505
2020.04.13,0:00,0.96554,0.96868,0.96298,0.96721,73108
2020.04.14,0:00,0.96718,0.96725,0.95935,0.96009,96303
2020.04.15,0:00,0.9601,0.97002,0.95978,0.96522,90263
2020.04.16,0:00,0.96523,0.97158,0.96468,0.96899,109924
2020.04.17,0:00,0.96898,0.9724,0.96562,0.96683,103090
2020.04.19,0:00,0.96692,0.96805,0.96643,0.96771,2409
2020.04.20,0:00,0.96772,0.97002,0.96555,0.96799,83743
2020.04.21,0:00,0.968,0.97276,0.96702,0.97,100323
2020.04.22,0:00,0.96998,0.97319,0.96687,0.97166,76818
2020.04.23,0:00,0.97166,0.97723,0.97054,0.97592,101517
2020.04.24,0:00,0.97591,0.98027,0.97252,0.97268,79573
2020.04.26,0:00,0.97233,0.97398,0.97233,0.97383,1035
2020.04.27,0:00,0.97382,0.9767,0.97122,0.97557,73850
2020.04.28,0:00,0.97557,0.97994,0.97203,0.97452,76581
2020.04.29,0:00,0.97452,0.97677,0.97124,0.97415,72878
2020.04.30,0:00,0.97415,0.97592,0.96386,0.96634,102462
2020.05.01,0:00,0.96635,0.96693,0.95887,0.96119,64930
2020.05.03,0:00,0.9617,0.96337,0.96169,0.96322,2346
2020.05.04,0:00,0.96322,0.9663,0.96233,0.9654,69392
2020.05.05,0:00,0.96541,0.97348,0.96458,0.97249,71919
2020.05.06,0:00,0.97249,0.97587,0.97211,0.97498,66256
2020.05.07,0:00,0.97495,0.97843,0.97253,0.9728,66858
2020.05.08,0:00,0.9728,0.97327,0.96811,0.97064,53132
2020.05.10,0:00,0.97229,0.9724,0.97094,0.97155,1469
2020.05.11,0:00,0.97157,0.97367,0.97003,0.97279,58499
2020.05.12,0:00,0.97283,0.97499,0.96649,0.9694,59781
2020.05.13,0:00,0.96939,0.97262,0.96654,0.97199,65327
2020.05.14,0:00,0.97201,0.97553,0.97134,0.97334,69515
2020.05.15,0:00,0.97334,0.97445,0.96981,0.97165,68618
2020.05.17,0:00,0.97222,0.97247,0.97125,0.97184,1452
2020.05.18,0:00,0.97183,0.97608,0.96767,0.97137,61772
2020.05.19,0:00,0.97139,0.97288,0.96986,0.97145,59448
2020.05.20,0:00,0.97145,0.97155,0.96383,0.96487,49272
2020.05.21,0:00,0.96485,0.97129,0.96479,0.97067,55048
2020.05.22,0:00,0.97065,0.97332,0.96972,0.97104,46799
2020.05.24,0:00,0.97129,0.97194,0.97122,0.97164,651
2020.05.25,0:00,0.97164,0.97362,0.97043,0.9716,35248
2020.05.26,0:00,0.97161,0.97182,0.96465,0.96552,54782
2020.05.27,0:00,0.96548,0.97282,0.9652,0.96817,85753
2020.05.28,0:00,0.96817,0.97192,0.96305,0.96442,74223
2020.05.29,0:00,0.96442,0.96504,0.96017,0.96116,89523
2020.05.31,0:00,0.96081,0.96162,0.96052,0.96076,1634
2020.06.01,0:00,0.96078,0.96251,0.95789,0.96085,72964
2020.06.02,0:00,0.96084,0.96375,0.95734,0.9619,80396
2020.06.03,0:00,0.96192,0.96479,0.96066,0.96127,94386
2020.06.04,0:00,0.96129,0.96238,0.95438,0.95541,85238
2020.06.05,0:00,0.95542,0.96506,0.95421,0.9623,80812
2020.06.07,0:00,0.9613,0.96267,0.96089,0.96162,853
2020.06.08,0:00,0.96162,0.96392,0.95555,0.95781,58202
2020.06.09,0:00,0.95782,0.95856,0.94824,0.95064,66068
2020.06.10,0:00,0.9507,0.95148,0.9425,0.9429,77360
2020.06.11,0:00,0.9429,0.94604,0.93762,0.94378,98533
2020.06.12,0:00,0.94378,0.95535,0.94367,0.9522,81707
2020.06.14,0:00,0.95173,0.95364,0.95084,0.95223,2134
2020.06.15,0:00,0.95223,0.95469,0.948,0.94875,81890
2020.06.16,0:00,0.94877,0.95232,0.94635,0.95125,78426
2020.06.17,0:00,0.95126,0.9529,0.94813,0.94886,71424
2020.06.18,0:00,0.94886,0.9525,0.94824,0.95136,68589
2020.06.19,0:00,0.95136,0.95307,0.94878,0.9522,65820
2020.06.21,0:00,0.95152,0.95271,0.95101,0.95206,935
2020.06.22,0:00,0.95207,0.95265,0.94651,0.94688,54576
2020.06.23,0:00,0.94686,0.94937,0.94203,0.94472,69551
2020.06.24,0:00,0.94472,0.94861,0.94331,0.94807,61992
2020.06.25,0:00,0.94807,0.95083,0.94761,0.94811,61843
2020.06.26,0:00,0.94812,0.94998,0.94676,0.94808,50388
2020.06.28,0:00,0.94723,0.94812,0.94712,0.94777,920
2020.06.29,0:00,0.94778,0.95253,0.94418,0.95098,49471
2020.06.30,0:00,0.95101,0.95326,0.94615,0.94707,57040
2020.07.01,0:00,0.94707,0.94941,0.9445,0.94582,60044
2020.07.02,0:00,0.94582,0.94652,0.94266,0.94547,50579
2020.07.03,0:00,0.94548,0.94703,0.94382,0.94459,50592
2020.07.05,0:00,0.94489,0.94526,0.94449,0.94511,480
2020.07.06,0:00,0.94511,0.94527,0.93844,0.94207,46800
2020.07.07,0:00,0.94207,0.94533,0.94084,0.94249,49212
2020.07.08,0:00,0.94249,0.94325,0.93701,0.9384,50472
2020.07.09,0:00,0.9384,0.94107,0.93625,0.94026,58556
2020.07.10,0:00,0.94026,0.94314,0.93847,0.94112,45267
2020.07.12,0:00,0.94048,0.94097,0.93985,0.94039,928
2020.07.13,0:00,0.94039,0.94377,0.93923,0.94181,49596
2020.07.14,0:00,0.94182,0.94244,0.93801,0.93949,56031
2020.07.15,0:00,0.93948,0.94574,0.93702,0.94448,49401
2020.07.16,0:00,0.94449,0.94678,0.94294,0.94553,49942
2020.07.17,0:00,0.94552,0.94588,0.93804,0.93869,37063
2020.07.19,0:00,0.93956,0.9401,0.93828,0.93855,1601
2020.07.20,0:00,0.93853,0.94102,0.9374,0.9391,46025
2020.07.21,0:00,0.93909,0.93982,0.93213,0.93277,53334
2020.07.22,0:00,0.93277,0.93517,0.92867,0.92953,61371
2020.07.23,0:00,0.92955,0.92991,0.92454,0.92511,61987
2020.07.24,0:00,0.92512,0.92606,0.92039,0.92055,59361
2020.07.26,0:00,0.92113,0.92198,0.92082,0.92123,1525
2020.07.27,0:00,0.92123,0.92301,0.91668,0.91966,70900
2020.07.28,0:00,0.91967,0.92278,0.91553,0.91786,69368
2020.07.29,0:00,0.91786,0.91876,0.91178,0.91207,68501
2020.07.30,0:00,0.91208,0.91513,0.90638,0.90919,75717
2020.07.31,0:00,0.90915,0.9149,0.90563,0.91344,97449
2020.08.02,0:00,0.91386,0.91398,0.91294,0.91318,4312
2020.08.03,0:00,0.91318,0.92408,0.91276,0.91761,89485
2020.08.04,0:00,0.9176,0.9188,0.91301,0.91364,65982
2020.08.05,0:00,0.91362,0.9138,0.90505,0.90808,61255
2020.08.06,0:00,0.90806,0.91289,0.90655,0.90968,79238
2020.08.07,0:00,0.90967,0.9158,0.90966,0.91245,73284
2020.08.09,0:00,0.91258,0.91333,0.91204,0.91313,764
2020.08.10,0:00,0.91312,0.91844,0.9122,0.9154,56851
2020.08.11,0:00,0.91545,0.91781,0.91054,0.91672,80572
2020.08.12,0:00,0.91671,0.91978,0.90985,0.91212,73853
2020.08.13,0:00,0.91208,0.91222,0.90821,0.90968,60746
2020.08.14,0:00,0.90967,0.91229,0.9087,0.90898,52662
2020.08.16,0:00,0.90905,0.90941,0.90851,0.90912,266
2020.08.17,0:00,0.9091,0.90967,0.90514,0.90665,51326
2020.08.18,0:00,0.90664,0.90677,0.90098,0.90316,65817
2020.08.19,0:00,0.90315,0.91542,0.9019,0.91431,71001
2020.08.20,0:00,0.9143,0.91616,0.90721,0.90733,80378
2020.08.21,0:00,0.90731,0.91398,0.90611,0.91151,67764
2020.08.23,0:00,0.91109,0.91205,0.91072,0.91156,1216
2020.08.24,0:00,0.91154,0.91278,0.90747,0.91195,60073
2020.08.25,0:00,0.91193,0.91261,0.90705,0.90794,63170
2020.08.26,0:00,0.90792,0.91207,0.90722,0.90769,64921
2020.08.27,0:00,0.90766,0.91235,0.90362,0.90938,99650
2020.08.28,0:00,0.90937,0.90999,0.90242,0.90399,92439
2020.08.30,0:00,0.90385,0.90481,0.90307,0.90394,1623
2020.08.31,0:00,0.90392,0.90532,0.89986,0.90386,78647
2020.09.01,0:00,0.90386,0.91009,0.89989,0.90958,92650
2020.09.02,0:00,0.90949,0.91367,0.90893,0.91114,84072
2020.09.03,0:00,0.91112,0.91423,0.90826,0.90984,84010
2020.09.04,0:00,0.90983,0.91634,0.90903,0.91344,81694
2020.09.06,0:00,0.91302,0.91367,0.91291,0.91336,826
2020.09.07,0:00,0.91334,0.91697,0.91208,0.91644,53709
2020.09.08,0:00,0.91642,0.92006,0.9156,0.91824,94998
2020.09.09,0:00,0.91823,0.91905,0.912,0.91203,82885
2020.09.10,0:00,0.91201,0.91227,0.90491,0.90994,82522
2020.09.11,0:00,0.90995,0.91062,0.90795,0.90894,59345
2020.09.13,0:00,0.90897,0.90911,0.90809,0.90874,565
2020.09.14,0:00,0.90873,0.90985,0.90582,0.90845,57395
2020.09.15,0:00,0.90845,0.90888,0.90514,0.9081,54873
2020.09.16,0:00,0.90809,0.91106,0.90551,0.90978,76581
2020.09.17,0:00,0.90976,0.91397,0.90803,0.90815,79979
2020.09.18,0:00,0.90815,0.91136,0.90751,0.91128,60649
2020.09.20,0:00,0.91111,0.91116,0.90975,0.91049,974
2020.09.21,0:00,0.91047,0.91713,0.90868,0.91502,75720
2020.09.22,0:00,0.91501,0.92078,0.91365,0.92002,78871
2020.09.23,0:00,0.92,0.92436,0.919,0.92409,81846
2020.09.24,0:00,0.92405,0.92803,0.92159,0.9267,86596
2020.09.25,0:00,0.92669,0.92964,0.92508,0.92889,62403
2020.09.27,0:00,0.92831,0.92884,0.92799,0.92836,1118
2020.09.28,0:00,0.92836,0.92954,0.92369,0.92451,59309
2020.09.29,0:00,0.92448,0.92472,0.91909,0.91916,62068
2020.09.30,0:00,0.91912,0.92447,0.91625,0.92066,88882
2020.10.01,0:00,0.92064,0.92147,0.91647,0.91897,80464
2020.10.02,0:00,0.91896,0.92185,0.91813,0.92044,87882
2020.10.04,0:00,0.91916,0.91999,0.91768,0.91782,2178
2020.10.05,0:00,0.91782,0.9187,0.91452,0.91519,58614
2020.10.06,0:00,0.91518,0.91823,0.91334,0.91795,64465
2020.10.07,0:00,0.91796,0.91848,0.91596,0.91675,58330
2020.10.08,0:00,0.91673,0.91978,0.91572,0.91703,48777
2020.10.09,0:00,0.91703,0.91723,0.90928,0.90961,43205
2020.10.11,0:00,0.91029,0.91081,0.9101,0.91042,1602
2020.10.12,0:00,0.91042,0.91238,0.90873,0.90904,43126
2020.10.13,0:00,0.90901,0.91549,0.90893,0.91523,50844
2020.10.14,0:00,0.91521,0.91627,0.91132,0.91359,45105
2020.10.15,0:00,0.91358,0.91557,0.91267,0.91463,53784
2020.10.16,0:00,0.91464,0.91623,0.91231,0.915,52668
2020.10.18,0:00,0.91451,0.91524,0.91451,0.9152,530
2020.10.19,0:00,0.9152,0.91653,0.90902,0.91052,40911
2020.10.20,0:00,0.91052,0.91101,0.90553,0.90681,50015
2020.10.21,0:00,0.90678,0.90706,0.90306,0.90551,59377
2020.10.22,0:00,0.9055,0.90805,0.90539,0.90718,52128
2020.10.23,0:00,0.90716,0.90922,0.90343,0.90418,49486
2020.10.25,0:00,0.90445,0.90506,0.90395,0.90502,2256
2020.10.26,0:00,0.90499,0.90824,0.90431,0.90824,53679
2020.10.27,0:00,0.90823,0.90996,0.90616,0.90937,43298
2020.10.28,0:00,0.90933,0.91276,0.9085,0.91037,59088
2020.10.29,0:00,0.91038,0.91727,0.9089,0.91596,64353
2020.10.30,0:00,0.91594,0.91728,0.91381,0.91683,61671
2020.11.01,0:00,0.91626,0.91732,0.91492,0.91722,864
2020.11.02,0:00,0.91722,0.92077,0.91662,0.91886,51335
2020.11.03,0:00,0.91886,0.91918,0.91063,0.9107,48474
2020.11.04,0:00,0.91068,0.91963,0.909,0.91165,118569
2020.11.05,0:00,0.91164,0.91258,0.90294,0.90436,77810
2020.11.06,0:00,0.90434,0.90565,0.89823,0.90018,78660
2020.11.08,0:00,0.89868,0.90009,0.89841,0.89933,2936
2020.11.09,0:00,0.89931,0.91432,0.89839,0.91275,103460
2020.11.10,0:00,0.91275,0.91752,0.91154,0.91506,93427
2020.11.11,0:00,0.91505,0.91918,0.91383,0.91672,57970
2020.11.12,0:00,0.9167,0.91706,0.91314,0.91488,59765
2020.11.13,0:00,0.91486,0.91592,0.91258,0.91261,46560
2020.11.15,0:00,0.91254,0.91315,0.91201,0.91214,1495
2020.11.16,0:00,0.91213,0.91515,0.90977,0.9124,62874
2020.11.17,0:00,0.91238,0.91284,0.90882,0.91137,53126
2020.11.18,0:00,0.91136,0.91227,0.90922,0.91187,60324
2020.11.19,0:00,0.91185,0.91394,0.90998,0.91108,59705
2020.11.20,0:00,0.91108,0.91234,0.90918,0.91097,52376
2020.11.22,0:00,0.91065,0.91133,0.9106,0.91064,1759
2020.11.23,0:00,0.91063,0.91479,0.90764,0.91246,58844
2020.11.24,0:00,0.91246,0.91365,0.90978,0.91096,59995
2020.11.25,0:00,0.91094,0.9139,0.90765,0.90824,67258
2020.11.26,0:00,0.90823,0.90935,0.90588,0.90656,44277
2020.11.27,0:00,0.90655,0.90827,0.90407,0.90466,49519
2020.11.29,0:00,0.90429,0.9047,0.90405,0.9042,879
2020.11.30,0:00,0.90419,0.90931,0.90193,0.90826,57868
2020.12.01,0:00,0.90824,0.9084,0.89912,0.89955,63228
2020.12.02,0:00,0.89954,0.90133,0.89436,0.89464,67695
2020.12.03,0:00,0.89463,0.89537,0.88913,0.89088,62019
2020.12.04,0:00,0.89088,0.89232,0.88856,0.89184,58942
2020.12.06,0:00,0.89043,0.89193,0.89037,0.8919,2338
2020.12.07,0:00,0.89191,0.89466,0.88756,0.89087,60787
2020.12.08,0:00,0.89085,0.89141,0.88816,0.88872,52632
2020.12.09,0:00,0.88872,0.89148,0.88713,0.88949,53094
2020.12.10,0:00,0.88951,0.89016,0.88521,0.88596,62733
2020.12.11,0:00,0.88595,0.89091,0.88513,0.88952,57920
2020.12.13,0:00,0.88825,0.8888,0.888,0.88858,2998
2020.12.14,0:00,0.88856,0.88957,0.88501,0.88674,51722
2020.12.15,0:00,0.88673,0.88807,0.88504,0.88553,56680
2020.12.16,0:00,0.88555,0.8892,0.88261,0.88543,64876
2020.12.17,0:00,0.88544,0.8858,0.88224,0.8848,56142
2020.12.18,0:00,0.88478,0.88681,0.88255,0.88297,52238
2020.12.20,0:00,0.88479,0.88582,0.88413,0.88577,1809
2020.12.21,0:00,0.88577,0.89193,0.88419,0.88562,79450
2020.12.22,0:00,0.88561,0.89048,0.88452,0.88784,63940
2020.12.23,0:00,0.88782,0.89112,0.88676,0.8878,61543
2020.12.24,0:00,0.88784,0.89185,0.88687,0.89033,41142
2020.12.27,0:00,0.8894,0.89072,0.8886,0.88963,1701
2020.12.28,0:00,0.8896,0.89189,0.88762,0.88838,54454
2020.12.29,0:00,0.88835,0.88843,0.88307,0.88416,55073
2020.12.30,0:00,0.88414,0.88547,0.8811,0.88165,63327
2020.12.31,0:00,0.88165,0.88586,0.87941,0.88482,56682
