date,time,open,high,low,close,volume
2020.01.01,0:00,108.749,108.755,108.553,108.723,3470
2020.01.02,0:00,108.723,108.866,108.213,108.546,43323
2020.01.03,0:00,108.545,108.564,107.842,108.108,85311
2020.01.05,0:00,107.889,107.981,107.773,107.97,8319
2020.01.06,0:00,107.971,108.507,107.916,108.415,68784
2020.01.07,0:00,108.414,108.63,107.83,107.994,76306
2020.01.08,0:00,107.997,109.245,107.652,109.037,127651
2020.01.09,0:00,109.039,109.583,109.032,109.497,65847
2020.01.10,0:00,109.497,109.69,109.435,109.494,44551
2020.01.12,0:00,109.542,109.594,109.506,109.553,7081
2020.01.13,0:00,109.552,110.031,109.535,110.011,39112
2020.01.14,0:00,110.012,110.213,109.817,109.85,60505
2020.01.15,0:00,109.852,110.002,109.789,109.885,52129
2020.01.16,0:00,109.885,110.238,109.874,110.181,45475
2020.01.17,0:00,110.182,110.291,110.049,110.153,37660
2020.01.19,0:00,110.082,110.193,110.078,110.188,4845
2020.01.20,0:00,110.188,110.217,110.114,110.175,34844
2020.01.21,0:00,110.175,110.223,109.761,109.912,68569
2020.01.22,0:00,109.911,110.097,109.662,109.736,60369
2020.01.23,0:00,109.737,109.764,109.266,109.566,73358
2020.01.24,0:00,109.568,109.653,109.172,109.276,65226
2020.01.26,0:00,108.991,109.043,108.732,108.801,14792
2020.01.27,0:00,108.8,109.138,108.794,108.931,94937
2020.01.28,0:00,108.93,109.267,108.756,109.137,76632
2020.01.29,0:00,109.136,109.261,108.95,108.987,70457
2020.01.30,0:00,108.988,109.046,108.583,108.889,105359
2020.01.31,0:00,108.89,109.136,108.311,108.363,100867
2020.02.02,0:00,108.451,108.467,108.317,108.387,7159
2020.02.03,0:00,108.388,108.799,108.366,108.618,94483
2020.02.04,0:00,108.619,109.544,108.549,109.443,75908
2020.02.05,0:00,109.443,109.844,109.304,109.819,88661
2020.02.06,0:00,109.819,110.023,109.781,109.962,66786
2020.02.07,0:00,109.963,110.006,109.532,109.766,83825
2020.02.09,0:00,109.691,109.78,109.561,109.618,7450
2020.02.10,0:00,109.618,109.879,109.606,109.769,72545
2020.02.11,0:00,109.769,109.964,109.726,109.843,57945
2020.02.12,0:00,109.846,110.136,109.8,109.868,63506
2020.02.13,0:00,109.869,109.986,109.619,109.772,85050
2020.02.14,0:00,109.775,109.912,109.699,109.781,53307
2020.02.16,0:00,109.82,109.835,109.75,109.795,6640
2020.02.17,0:00,109.794,109.962,109.719,109.836,46026
2020.02.18,0:00,109.838,109.948,109.657,109.921,69302
2020.02.19,0:00,109.922,111.592,109.863,111.197,71634
2020.02.20,0:00,111.199,112.224,111.112,111.971,122855
2020.02.21,0:00,111.971,112.187,111.473,111.525,109776
2020.02.23,0:00,111.387,111.598,111.378,111.548,13922
2020.02.24,0:00,111.548,111.684,110.333,110.852,156996
2020.02.25,0:00,110.854,111.042,109.891,110.292,204960
2020.02.26,0:00,110.292,110.701,110.13,110.381,232246
2020.02.27,0:00,110.382,110.404,109.331,109.622,257270
2020.02.28,0:00,109.62,109.668,107.51,108.055,296274
2020.03.01,0:00,107.568,107.772,107.372,107.673,13952
2020.03.02,0:00,107.672,108.578,107.402,108.527,265307
2020.03.03,0:00,108.524,108.527,106.848,107.068,253723
2020.03.04,0:00,107.067,107.742,107.033,107.712,200009
2020.03.05,0:00,107.713,107.717,105.97,106.263,191903
2020.03.06,0:00,106.264,106.343,104.994,105.3,267657
2020.03.08,0:00,104.272,104.594,103.52,103.721,14462
2020.03.09,0:00,103.719,104.265,101.182,102.438,321866
2020.03.10,0:00,102.438,105.918,102.398,105.107,336157
2020.03.11,0:00,105.106,105.331,104.095,104.731,287368
2020.03.12,0:00,104.731,106.103,103.09,104.789,331290
2020.03.13,0:00,104.789,108.502,104.508,108.005,342259
2020.03.15,0:00,107.107,107.217,105.759,106.384,19048
2020.03.16,0:00,106.382,107.569,105.144,106.288,339302
2020.03.17,0:00,106.289,107.862,106.078,107.256,444411
2020.03.18,0:00,107.257,108.654,106.754,108.01,403698
2020.03.19,0:00,108.011,110.96,107.993,110.857,430287
2020.03.20,0:00,110.858,111.505,109.329,110.694,357033
2020.03.22,0:00,110.783,111.251,110.5,111.071,13261
2020.03.23,0:00,111.071,111.592,109.668,110.983,354575
2020.03.24,0:00,110.983,111.714,110.084,111.195,323265
2020.03.25,0:00,111.201,111.68,110.755,111.012,314578
2020.03.26,0:00,111.013,111.038,109.208,109.335,316602
2020.03.27,0:00,109.338,109.393,107.759,107.943,253095
2020.03.29,0:00,107.688,107.976,107.615,107.662,10865
2020.03.30,0:00,107.661,108.295,107.123,107.978,216507
2020.03.31,0:00,107.975,108.727,107.462,107.763,243375
2020.04.01,0:00,107.762,107.942,106.92,107.208,186076
2020.04.02,0:00,107.205,108.131,107.017,108.131,179708
2020.04.03,0:00,108.13,108.677,107.802,108.39,147328
2020.04.05,0:00,108.363,108.584,108.361,108.456,7007
2020.04.06,0:00,108.455,109.382,108.454,109.213,171552
2020.04.07,0:00,109.214,109.235,108.672,108.802,163822
2020.04.08,0:00,108.801,109.101,108.506,108.864,126400
2020.04.09,0:00,108.865,109.064,108.209,108.506,119473
2020.04.10,0:00,108.503,108.59,108.331,108.333,67750
2020.04.12,0:00,108.422,108.526,108.268,108.33,5900
2020.04.13,0:00,108.331,108.39,107.502,107.701,87228
2020.04.14,0:00,107.7,107.759,106.981,107.184,80965
2020.04.15,0:00,107.182,107.862,106.928,107.438,101542
2020.04.16,0:00,107.435,108.084,107.164,107.967,110297
2020.04.17,0:00,107.97,108.083,107.301,107.532,95716
2020.04.19,0:00,107.49,107.652,107.445,107.639,2274
2020.04.20,0:00,107.642,107.95,107.584,107.72,78311
2020.04.21,0:00,107.722,107.893,107.282,107.752,98023
